id,group,label
"Abbas,James",IAFSE,"Abbas,James"
"Abbaszadegan,Morteza",IAFSE,"Abbaszadegan,Morteza"
"Abbott,David Ralph",CLAS,"Abbott,David Ralph"
"Abbott,Joshua K",GIOS,"Abbott,Joshua K"
"Abdelmonem,Angie",CLAS,"Abdelmonem,Angie"
"Aberle,James T",IAFSE,"Aberle,James T"
"Abry,Tashia",CLAS,"Abry,Tashia"
"Adame,Bradley Joseph",CLAS,"Adame,Bradley Joseph"
"Adams,Gary B",CLAS,"Adams,Gary B"
"Adams,James Brewster",IAFSE,"Adams,James Brewster"
"Adams,Jeffrey M",CONHI,"Adams,Jeffrey M"
"Adams,Marc Anthony",CHS,"Adams,Marc Anthony"
"Adamson,Eric Thomas",CLAS,"Adamson,Eric Thomas"
"Adamson,Joni Lynn",CLAS,"Adamson,Joni Lynn"
"Adelman,Madelaine Beth",CLAS,"Adelman,Madelaine Beth"
"Adrian,Ronald John",IAFSE,"Adrian,Ronald John"
"Aggarwal,Rimjhim M",GIOS,"Aggarwal,Rimjhim M"
"Agusdinata,Buyung",GIOS,"Agusdinata,Buyung"
"Ahn,Gail-Joon",IAFSE,"Ahn,Gail-Joon"
"Ainsworth,Barbara Ellen",CHS,"Ainsworth,Barbara Ellen"
"Aktipis,C Athena",CLAS,"Aktipis,C Athena"
"Alarcon,Ricardo O",CLAS,"Alarcon,Ricardo O"
"Alford,Eddie Jim",CISA,"Alford,Eddie Jim"
"Alford,Terry Lynn",IAFSE,"Alford,Terry Lynn"
"Allee,David Ray",IAFSE,"Allee,David Ray"
"Allen,Daniel",CISA,"Allen,Daniel"
"Allen,James Paul",CLAS,"Allen,James Paul"
"Alum,Absar",IAFSE,"Alum,Absar"
"Amazeen,Eric",CLAS,"Amazeen,Eric"
"Amdam,Gro Vang",CLAS,"Amdam,Gro Vang"
"Ames,Victoria E",LAW,"Ames,Victoria E"
"Amparano,Julie A",ARTS,"Amparano,Julie A"
"Amresh,Ashish",IAFSE,"Amresh,Ashish"
"Anbar,Ariel David",CLAS,"Anbar,Ariel David"
"Andereck,Kathleen L",PUBSRV,"Andereck,Kathleen L"
"Anderies,John M",CLAS,"Anderies,John M"
"Anderson-Rowland,Mary Ruth",IAFSE,"Anderson-Rowland,Mary Ruth"
"Anderson,James R",IAFSE,"Anderson,James R"
"Anderson,Karen S",CLAS,"Anderson,Karen S"
"Andino,Jean M",IAFSE,"Andino,Jean M"
"Androff Jr,David Kime",PUBSRV,"Androff Jr,David Kime"
"Angadi,Siddhartha Subhashchand",CHS,"Angadi,Siddhartha Subhashchand"
"Angell,Charles Austen",CLAS,"Angell,Charles Austen"
"Angilletta,Michael",CLAS,"Angilletta,Michael"
"Ankeny,Casey J",IAFSE,"Ankeny,Casey J"
"Anokye,Akua D",ARTS,"Anokye,Akua D"
"Anselin,Luc E",CLAS,"Anselin,Luc E"
"Anthony,Elizabeth",PUBSRV,"Anthony,Elizabeth"
"Archambault,Leanna",MLFTC,"Archambault,Leanna"
"Ariaratnam,Samuel T",IAFSE,"Ariaratnam,Samuel T"
"Arrowsmith,Ramon",CLAS,"Arrowsmith,Ramon"
"Artemiadis,Panagiotis K.",IAFSE,"Artemiadis,Panagiotis K."
"Artiles,Alfredo",MLFTC,"Artiles,Alfredo"
"Ashcraft,Robert F",PUBSRV,"Ashcraft,Robert F"
"Ashford,Jose Barry",PUBSRV,"Ashford,Jose Barry"
"Askin,Ronald Gene",IAFSE,"Askin,Ronald Gene"
"Asphaug,Erik",CLAS,"Asphaug,Erik"
"Atkinson,Robert Kenneth",IAFSE,"Atkinson,Robert Kenneth"
"Aukes,Daniel Mcconnell",IAFSE,"Aukes,Daniel Mcconnell"
"Aviles-Santiago,Manuel Gerardo",CISA,"Aviles-Santiago,Manuel Gerardo"
"Axel,Joseph B",EVPP,"Axel,Joseph B"
"Ayer,Steven",IAFSE,"Ayer,Steven"
"Ayon,Cecilia",PUBSRV,"Ayon,Cecilia"
"Ayyanar,Raja",IAFSE,"Ayyanar,Raja"
"Azuma,Tamiko",CHS,"Azuma,Tamiko"
